t,x,y,cx,cy,bx,by
207.73,78.71,-5.67, -0.54,-0.42,-0.33,-0.14
207.99,78.90,-5.58, -0.66,-0.51,-0.33,-0.14
208.09,78.70,-5.67, -0.60,-0.47,-0.33,-0.15
208.29,79.00,-5.51, -0.77,-0.59,-0.33,-0.15
208.58,78.80,-5.62, -0.65,-0.50,-0.34,-0.15
208.93,79.18,-5.42, -0.98,-0.76,-0.34,-0.15
209.21,78.96,-5.52, -0.75,-0.58,-0.34,-0.15
209.58,79.17,-5.42, -0.98,-0.76,-0.34,-0.16
209.86,79.43,-5.29, -1.33,-1.02,-0.35,-0.16
209.98,79.22,-5.39, -1.06,-0.81,-0.35,-0.16
210.31,79.03,-5.48, -0.80,-0.62,-0.35,-0.17
210.46,79.02,-5.49, -0.80,-0.61,-0.36,-0.17
210.68,78.81,-5.60, -0.65,-0.50,-0.36,-0.17
210.89,79.02,-5.50, -0.78,-0.60,-0.36,-0.17
211.10,78.79,-5.61, -0.63,-0.49,-0.36,-0.17
211.34,79.04,-5.51, -0.80,-0.61,-0.36,-0.17
211.52,78.83,-5.61, -0.64,-0.49,-0.36,-0.18
211.67,78.62,-5.73, -0.52,-0.40,-0.36,-0.18
212.03,78.84,-5.62, -0.66,-0.51,-0.36,-0.18
212.22,78.58,-5.75, -0.50,-0.38,-0.37,-0.18
212.43,78.82,-5.64, -0.65,-0.50,-0.37,-0.18
212.63,78.59,-5.76, -0.49,-0.38,-0.37,-0.18
212.83,78.83,-5.65, -0.69,-0.53,-0.37,-0.18
213.00,78.60,-5.77, -0.51,-0.39,-0.37,-0.18
213.45,78.40,-5.88, -0.39,-0.30,-0.37,-0.18
213.83,78.81,-5.67, -0.70,-0.54,-0.37,-0.18
213.97,78.58,-5.79, -0.42,-0.32,-0.37,-0.19
214.45,78.66,-5.77, -0.52,-0.40,-0.37,-0.19
214.82,78.68,-5.74, -0.56,-0.43,-0.37,-0.19
215.08,78.47,-5.81, -0.41,-0.31,-0.37,-0.19
215.43,78.25,-5.53, -0.41,-0.33,-0.37,-0.19
215.63,77.78,-5.42, -0.62,-0.49,-0.37,-0.19
216.11,77.36,-4.42, -0.96,-0.82,-0.38,-0.19
216.20,77.36,-4.42, -1.13,-0.97,-0.38,-0.20
216.50,76.70,-3.54, -1.29,-1.26,-0.38,-0.20
216.73,75.65,-2.88, -1.10,-1.10,-0.39,-0.20
217.00,75.22,-2.09, -1.28,-1.41,-0.39,-0.21
217.14,74.29,-1.71, -0.98,-1.10,-0.39,-0.21
217.31,73.79,-1.64, -0.48,-0.55,-0.39,-0.21
218.31,69.17,1.32, -0.07,-0.15,-0.39,-0.21
218.74,67.27,1.54, -1.55,-2.00,-0.39,-0.22
219.01,65.67,2.27, -0.96,-2.00,-0.40,-0.23
219.38,63.52,2.83, -0.12,-0.60,-0.40,-0.23
219.66,62.48,2.75, -0.13,-0.77,-0.40,-0.23
219.86,61.37,3.13, -0.05,-0.44,-0.39,-0.23
220.35,58.67,3.24, -0.01,-0.24,-0.39,-0.23
221.36,53.58,3.55, -0.00,-0.34,-0.39,-0.23
222.30,47.48,3.89, -0.00,-0.30,-0.39,-0.23
222.53,46.25,3.85, -0.01,-0.57,-0.39,-0.23
222.88,44.65,3.96, -0.00,-0.33,-0.39,-0.23
223.10,43.03,4.02, -0.01,-0.22,-0.38,-0.23
223.36,41.60,4.26, -0.00,-0.58,-0.38,-0.23
223.62,40.05,4.26, -0.01,-0.44,-0.38,-0.24
223.72,39.68,4.16, -0.01,-0.27,-0.38,-0.24
223.97,38.47,4.37, -0.01,-0.90,-0.38,-0.24
224.21,36.99,4.33, -0.02,-0.89,-0.38,-0.24
224.55,35.04,4.56, -0.03,-1.46,-0.38,-0.24
224.65,34.55,4.41, -0.03,-1.27,-0.38,-0.25
224.80,33.20,4.65, -0.02,-1.31,-0.37,-0.25
