tru_x, tru_y, ukf_x,ukf_y,error
-104.1112289428711, -45.99521255493164, -101.72716915145439,-43.70785683605176,2.8351055584553757
-104.33058166503906, -46.39452362060547, -102.0249445143804,-44.385902496840124,2.836336258362912
-104.71542358398438, -46.966678619384766, -102.22328656738792,-44.862702850015445,2.8386723891664567
-104.86808013916016, -47.16712188720703, -102.30135591594585,-45.031699083979234,2.841405751104237
-104.86808013916016, -47.16712188720703, -102.56409844605061,-45.55563502308036,2.8412438860661853
-105.78496551513672, -48.03010559082031, -102.65570906491763,-45.86384861661744,2.846458272127893
-106.3012466430664, -48.2993049621582, -103.75349838088304,-46.294551669505765,2.848584420139265
-106.8798599243164, -48.54111099243164, -104.12727406335144,-46.631981029861564,2.8512649936080403
-107.36965942382812, -48.69424057006836, -104.3354439353937,-46.82464357149974,2.8550559585856425
-107.83052825927734, -48.82027816772461, -104.94985587076609,-47.41231378396371,2.8569146215684014
-108.54437255859375, -48.95532989501953, -105.02475797962596,-47.763719741861344,2.8614353909686634
-109.05322265625, -49.02121353149414, -106.54618590812574,-47.36698366211235,2.8621797926223804
-109.68733978271484, -49.08524703979492, -107.11403064945642,-47.48721591534587,2.86304932049327
-110.24430084228516, -49.120140075683594, -107.6174156860486,-47.497968282432346,2.8642116989911988
-110.24430084228516, -49.120140075683594, -108.16201736079529,-47.5771934366785,2.8628066812220823
-111.26577758789062, -49.1651496887207, -108.46632452376184,-47.540611680087444,2.864723951597081
-111.26577758789062, -49.1651496887207, -109.2668096513998,-47.42697989735453,2.8636232287009364
-112.17010498046875, -49.18288040161133, -109.40307304365733,-47.59083536122577,2.865291872342233
-112.84015655517578, -49.19100570678711, -109.83981458511228,-47.57933874698794,2.8680217474697898
-113.79225158691406, -49.19083023071289, -110.94596514728264,-47.221298147213794,2.8710029039851386
-113.9803695678711, -49.18994140625, -111.27300216984771,-47.16887880201353,2.8735405892776487
-114.95306396484375, -49.18246078491211, -112.33857683945587,-47.14025356374037,2.875749602763672
-115.19607543945312, -49.18028259277344, -112.62969066283867,-47.13297999849104,2.877765459909707
-115.86284637451172, -49.17337417602539, -113.03998554568724,-47.00733805565408,2.88111698627314
-115.86284637451172, -49.17337417602539, -113.30903740014749,-47.15589019025823,2.8829476051844503
-117.05731964111328, -49.16253662109375, -114.25283707813576,-46.76004219722336,2.8868983226702403
-117.65137481689453, -49.15544509887695, -114.98756653819031,-46.9933076512412,2.88953885146868
-118.25537109375, -49.14773941040039, -115.44918382928336,-46.849965306872086,2.8931010153768195
-118.84001922607422, -49.14002227783203, -115.9240566980317,-46.722239675219924,2.897403139038248
-119.41006469726562, -49.132240295410156, -116.33599670829932,-46.885453357896445,2.9017582282294727
-119.84532165527344, -49.12618637084961, -116.80305865263131,-46.756032217362694,2.9063048662009106
-120.42281341552734, -49.117958068847656, -117.63153563562719,-47.084840266847785,2.908896929961898
-120.42281341552734, -49.117958068847656, -118.27401203336194,-46.97397558717057,2.909493918466024
-121.52906036376953, -49.1046028137207, -118.57273213424699,-46.90622692578953,2.91313065615411
-122.07515716552734, -49.097904205322266, -119.24941369987437,-47.15866704880948,2.9155326905334067
-122.68919372558594, -49.090511322021484, -119.70221016522771,-47.033396145895146,2.9188409845727374
-123.22258758544922, -49.084041595458984, -120.50331694484684,-47.24098656351428,2.9205362072451635
-123.89493560791016, -49.075740814208984, -120.876475318792,-47.48240766126599,2.9228064654942423
-124.62267303466797, -49.067195892333984, -121.48333272878729,-47.37396507524694,2.925760838153109
-125.0898666381836, -49.0615119934082, -121.8784272413378,-47.64786575379148,2.9284231572852897
-125.527587890625, -49.056331634521484, -122.3395628040981,-47.612416741035936,2.9310201910634244
-126.04627990722656, -49.0501594543457, -123.1984831999443,-47.646571808783186,2.932123729839908
-126.77629852294922, -49.04322052001953, -123.85662232667502,-47.610725297687324,2.9335653394995704
-127.31951141357422, -49.03730773925781, -124.19530427922805,-47.929026120587835,2.9352756284850092
-127.92998504638672, -49.03097152709961, -124.77553965219315,-47.91205754132623,2.9371137405705037
-127.92998504638672, -49.03097152709961, -124.9536147847319,-48.27939857341404,2.9377034354167435
-129.11000061035156, -49.0187873840332, -126.64782031567968,-47.525882999520825,2.937445571592024
-129.3619842529297, -49.01622009277344, -126.86483406596604,-47.8728490893009,2.936604236510108
-130.10708618164062, -49.00843048095703, -127.33928591918517,-47.892262726222576,2.9368137975303554
-130.82162475585938, -49.00117492675781, -127.86851678518917,-48.2706268730653,2.93727368801872
-130.82162475585938, -49.00117492675781, -128.10734199895398,-48.262655610313885,2.9367331919482775
-131.78700256347656, -48.99183654785156, -129.09180563115547,-48.0737423176527,2.936345933581155
-132.4075469970703, -48.98587417602539, -129.64534824159253,-48.1231357591,2.9361625318611253
-132.91409301757812, -48.98091125488281, -129.99944395385486,-48.47223583595244,2.9362592767126987
-133.77561950683594, -48.97274398803711, -130.69179611177944,-48.528311818068715,2.9370260489643125
-134.25086975097656, -48.96837615966797, -130.9825233749296,-48.90324666623147,2.938438683823423
-134.25086975097656, -48.96837615966797, -132.29923807141938,-47.72906737307463,2.9357837405565452
-135.224853515625, -48.95927810668945, -132.72688281657582,-48.08539191682023,2.934562793210963
-135.77626037597656, -48.954280853271484, -133.08614840977037,-48.52235340235502,2.933680456693219
-136.34423828125, -48.949398040771484, -133.55414284512653,-48.55830425113443,2.933193811848132
-136.93577575683594, -48.94411087036133, -134.1175931790493,-48.60629628317832,2.932798659403183
-137.34202575683594, -48.94047927856445, -134.3924044573592,-49.08574082327873,2.932883295750102
-138.3273468017578, -48.931678771972656, -135.67584456039836,-47.772176307111366,2.9327223883033624
-138.86090087890625, -48.92690658569336, -136.21389423452638,-48.185755082712355,2.9319655421912003
-139.33624267578125, -48.92267608642578, -136.60148804036916,-48.19959759138301,2.9315424544092306
-139.33624267578125, -48.92267608642578, -137.10643380568004,-48.66892256550777,2.9287369793744364
-140.28567504882812, -48.91419219970703, -137.66970685219573,-48.74342450236075,2.927488195070541
-140.88095092773438, -48.90788650512695, -138.38879732548867,-48.36782188555097,2.925959902283087
-140.88095092773438, -48.90788650512695, -138.99994284544547,-48.39174496264412,2.9220267442915033
-142.08309936523438, -48.81080627441406, -139.38541216310188,-48.795975070136755,2.9211259460049344
-142.08309936523438, -48.81080627441406, -140.02833161782473,-48.86444766796194,2.9176633134384873
-143.26133728027344, -48.67465591430664, -140.81952844809805,-47.666656677840905,2.9165637931135477
-143.90921020507812, -48.5894660949707, -141.3863394379204,-47.587045154638645,2.9157628402768925
-144.4243621826172, -48.51615524291992, -141.95594160231911,-47.88389800383891,2.9143096552104883
-145.0441436767578, -48.42307662963867, -142.4663428971869,-47.99139611092404,2.9131261354887914
-145.56443786621094, -48.29912185668945, -142.9228921223611,-47.99327416799496,2.9121303187655667
-146.10214233398438, -48.107601165771484, -143.70625680949684,-47.061803962924195,2.9109664668918533
-146.10214233398438, -48.107601165771484, -144.0715511924184,-47.04471954205128,2.9085578280152418
-146.976318359375, -47.666561126708984, -144.60003816805113,-47.39657735811679,2.906553992513314
-147.4497528076172, -47.312782287597656, -145.03015100702808,-47.7209814596752,2.9048058800622365
-147.4497528076172, -47.312782287597656, -145.59154799766839,-47.62747008726001,2.9008822524815114
